ID;Length;Utcclk;TimeZoneDirection;SummerTime;TimeZoneHour;FrameTime;AlgorithmId;UniqueInfoFlag;ResultInfoFlag;ResultInfoLength;AreaNum;AreaLength;ImageWidth;ImageHeight;AreaId;DtctArea;AlmType;Dir;AlmObj;Hstart;Vstart;Hcnt;Vcnt
47;40;1700565759;0;false;0;64;256;0;1;16;1;16;800;450;2585;1;1;0;1;480;177;80;175
47;40;1700565759;0;false;0;67;256;0;1;16;1;16;800;450;2585;1;1;0;1;480;177;80;175
47;40;1700565759;0;false;0;70;256;0;1;16;1;16;800;450;2585;1;1;0;1;480;177;80;175
47;40;1700565759;0;false;0;74;256;0;1;16;1;16;800;450;2585;1;1;0;1;477;177;80;172
47;40;1700565759;0;false;0;77;256;0;1;16;1;16;800;450;2585;1;1;0;1;477;177;80;172
47;40;1700565759;0;false;0;80;256;0;1;16;1;16;800;450;2585;1;1;0;1;477;177;80;172
47;40;1700565759;0;false;0;84;256;0;1;16;1;16;800;450;2585;1;1;0;1;480;175;80;175
47;40;1700565759;0;false;0;87;256;0;1;16;1;16;800;450;2585;1;1;0;1;480;175;80;175
47;40;1700565759;0;false;0;90;256;0;1;16;1;16;800;450;2585;1;1;0;1;480;175;80;175
47;40;1700565759;0;false;0;94;256;0;1;16;1;16;800;450;2585;1;1;0;1;480;175;80;177
47;40;1700565759;0;false;0;97;256;0;1;16;1;16;800;450;2585;1;1;0;1;480;175;80;177
47;40;1700565760;0;false;0;0;256;0;1;16;1;16;800;450;2585;1;1;0;1;480;175;80;177
47;40;1700565760;0;false;0;4;256;0;1;16;1;16;800;450;2585;1;1;0;1;482;175;80;175
47;40;1700565760;0;false;0;7;256;0;1;16;1;16;800;450;2585;1;1;0;1;482;175;80;175
47;40;1700565760;0;false;0;10;256;0;1;16;1;16;800;450;2585;1;1;0;1;482;175;80;175
47;40;1700565760;0;false;0;14;256;0;1;16;1;16;800;450;2585;1;1;0;1;480;175;77;172
47;40;1700565760;0;false;0;17;256;0;1;16;1;16;800;450;2585;1;1;0;1;480;175;77;172
47;40;1700565760;0;false;0;20;256;0;1;16;1;16;800;450;2585;1;1;0;1;480;175;77;172
47;40;1700565760;0;false;0;24;256;0;1;16;1;16;800;450;2585;1;1;0;1;480;175;77;172
47;40;1700565760;0;false;0;27;256;0;1;16;1;16;800;450;2585;1;1;0;1;482;175;77;175
47;40;1700565760;0;false;0;30;256;0;1;16;1;16;800;450;2585;1;1;0;1;482;175;77;175
47;40;1700565760;0;false;0;34;256;0;1;16;1;16;800;450;2585;1;1;0;1;480;172;77;177
47;40;1700565760;0;false;0;37;256;0;1;16;1;16;800;450;2585;1;1;0;1;480;172;77;177
47;40;1700565760;0;false;0;40;256;0;1;16;1;16;800;450;2585;1;1;0;1;480;172;77;177
47;40;1700565760;0;false;0;44;256;0;1;16;1;16;800;450;2585;1;1;0;1;480;172;77;177
47;40;1700565760;0;false;0;47;256;0;1;16;1;16;800;450;2585;1;1;0;1;482;172;77;177
47;40;1700565760;0;false;0;50;256;0;1;16;1;16;800;450;2585;1;1;0;1;482;172;77;177
47;40;1700565760;0;false;0;54;256;0;1;16;1;16;800;450;2585;1;1;0;1;482;172;77;175
47;40;1700565760;0;false;0;57;256;0;1;16;1;16;800;450;2585;1;1;0;1;482;172;77;175
47;40;1700565760;0;false;0;60;256;0;1;16;1;16;800;450;2585;1;1;0;1;482;172;77;175
47;40;1700565760;0;false;0;64;256;0;1;16;1;16;800;450;2585;1;1;0;1;482;172;77;175
47;40;1700565760;0;false;0;67;256;0;1;16;1;16;800;450;2585;1;1;0;1;482;172;77;175
47;56;1700565760;0;false;0;70;256;0;1;32;2;16;800;450;2767;0;15;0;4;695;135;42;125
47;56;1700565760;0;false;0;70;256;0;1;32;2;16;800;450;2585;1;1;0;1;482;172;77;177
47;56;1700565760;0;false;0;74;256;0;1;32;2;16;800;450;2767;0;15;0;4;695;135;42;125
47;56;1700565760;0;false;0;74;256;0;1;32;2;16;800;450;2585;1;1;0;1;482;172;77;177
47;56;1700565760;0;false;0;77;256;0;1;32;2;16;800;450;2767;0;15;0;4;695;135;42;125
47;56;1700565760;0;false;0;77;256;0;1;32;2;16;800;450;2585;1;1;0;1;482;172;77;177
47;56;1700565760;0;false;0;80;256;0;1;32;2;16;800;450;2767;0;15;0;4;695;135;40;130
47;56;1700565760;0;false;0;80;256;0;1;32;2;16;800;450;2585;1;1;0;1;482;175;75;177
47;56;1700565760;0;false;0;84;256;0;1;32;2;16;800;450;2767;0;15;0;4;695;135;40;130
47;56;1700565760;0;false;0;84;256;0;1;32;2;16;800;450;2585;1;1;0;1;482;175;75;177
47;56;1700565760;0;false;0;87;256;0;1;32;2;16;800;450;2767;0;15;0;4;695;135;40;130
47;56;1700565760;0;false;0;87;256;0;1;32;2;16;800;450;2585;1;1;0;1;482;175;75;177
47;56;1700565760;0;false;0;90;256;0;1;32;2;16;800;450;2767;0;15;0;4;697;137;37;132
47;56;1700565760;0;false;0;90;256;0;1;32;2;16;800;450;2585;1;1;0;1;482;172;75;177
47;56;1700565760;0;false;0;94;256;0;1;32;2;16;800;450;2767;0;15;0;4;697;137;37;132
47;56;1700565760;0;false;0;94;256;0;1;32;2;16;800;450;2585;1;1;0;1;482;172;75;177
47;40;1700565760;0;false;0;97;256;0;1;16;1;16;800;450;2585;1;1;0;1;480;172;77;175
47;40;1700565761;0;false;0;0;256;0;1;16;1;16;800;450;2585;1;1;0;1;480;172;77;175
